,Time,Solar8000/HR
1324,2650.52,90
1325,2652.52,90
1326,2654.52,90
1327,2656.52,90
1328,2658.52,90
1329,2660.52,90
1330,2662.52,90
1331,2664.52,90
1332,2666.52,90
1333,2668.52,90
1334,2670.52,87
1335,2672.52,89
1336,2674.52,89
1337,2676.52,88
1338,2678.52,88
1339,2680.52,87
1340,2682.52,87
1341,2684.52,87
1342,2686.52,87
1343,2688.52,87
1344,2690.52,87
1345,2692.52,87
1346,2694.52,87
1347,2696.52,87
1348,2698.52,87
1349,2700.52,87
1350,2702.52,87
1351,2704.52,87
1352,2706.52,87
1353,2708.52,87
1354,2710.52,87
1355,2712.52,87
1356,2714.52,87
1357,2716.52,87
1358,2718.52,87
1359,2720.52,87
1360,2722.52,87
1361,2724.52,87
1362,2726.52,87
1363,2728.52,87
1364,2730.52,87
1365,2732.52,87
1366,2734.52,87
1367,2736.52,87
1368,2738.52,87
1369,2740.52,87
1370,2742.53,88
1371,2744.52,87
1372,2746.53,87
1373,2748.53,87
1374,2750.52,87
1375,2752.53,87
1376,2754.53,87
1377,2756.53,87
1378,2758.53,87
1379,2760.53,87
1380,2762.53,86
1381,2764.53,87
1382,2766.53,87
1383,2768.53,87
1384,2770.53,87
1385,2772.53,87
1386,2774.53,87
1387,2776.53,87
1388,2778.53,87
1389,2780.53,87
1390,2782.53,87
1391,2784.53,87
1392,2786.53,87
1393,2788.53,87
1394,2790.53,87
1395,2792.53,87
1396,2794.53,87
1397,2796.54,86
1398,2798.53,86
1399,2800.53,86
1400,2802.54,86
1401,2804.54,86
1402,2806.53,86
1403,2808.53,86
1404,2810.54,86
1405,2812.54,87
1406,2814.54,86
1407,2816.54,87
1408,2818.54,86
1409,2820.54,86
1410,2822.54,86
1411,2824.54,86
1412,2826.54,85
1413,2828.54,86
1414,2830.54,86
1415,2832.54,86
1416,2834.54,86
1417,2836.54,86
1418,2838.54,86
1419,2840.54,86
1420,2842.54,86
1421,2844.54,86
1422,2846.54,86
1423,2848.54,86
1424,2850.54,86
1425,2852.54,86
1426,2854.54,86
1427,2856.54,86
1428,2858.54,86
1429,2860.54,86
1430,2862.54,86
1431,2864.54,86
1432,2866.54,86
1433,2868.54,86
1434,2870.54,86
1435,2872.54,86
1436,2874.54,86
1437,2876.54,86
1438,2878.54,86
1439,2880.54,86
1440,2882.54,85
1441,2884.54,86
1442,2886.54,85
1443,2888.54,86
1444,2890.54,85
1445,2892.55,85
1446,2894.55,85
1447,2896.54,85
1448,2898.55,86
1449,2900.55,85
1450,2902.54,85
1451,2904.54,86
1452,2906.55,86
1453,2908.54,86
1454,2910.54,86
1455,2912.55,86
1456,2914.54,86
1457,2916.55,86
1458,2918.55,86
1459,2920.55,86
1460,2922.55,86
1461,2924.55,86
1462,2926.55,86
1463,2928.55,86
1464,2930.55,86
1465,2932.55,86
1466,2934.55,86
1467,2936.55,86
1468,2938.55,86
1469,2940.55,87
1470,2942.55,87
1471,2944.55,88
1472,2946.55,87
1473,2948.55,86
1474,2950.55,86
1475,2952.55,86
1476,2954.55,87
1477,2956.55,86
1478,2958.55,86
1479,2960.55,86
1480,2962.55,86
1481,2964.55,86
1482,2966.55,86
1483,2968.55,86
1484,2970.55,86
1485,2972.55,86
1486,2974.55,86
1487,2976.55,86
1488,2978.55,86
1489,2980.56,86
1490,2982.55,86
1491,2984.55,86
1492,2986.55,86
1493,2988.55,86
1494,2990.55,86
1495,2992.56,86
1496,2994.55,86
1497,2996.55,87
1498,2998.56,86
1499,3000.55,86
1500,3002.56,86
1501,3004.56,86
1502,3006.55,88
1503,3008.55,86
1504,3010.55,86
1505,3012.55,86
1506,3014.56,86
1507,3016.55,86
1508,3018.56,86
1509,3020.56,85
1510,3022.56,85
1511,3024.56,85
1512,3026.56,85
1513,3028.56,85
1514,3030.56,85
1515,3032.56,84
1516,3034.56,85
1517,3036.56,85
1518,3038.56,86
1519,3040.56,86
1520,3042.56,87
1521,3044.56,87
1522,3046.56,87
1523,3048.56,87
1524,3050.56,86
1525,3052.56,86
1526,3054.56,86
1527,3056.56,86
1528,3058.56,86
1529,3060.56,86
1530,3062.56,86
1531,3064.56,87
1532,3066.56,86
1533,3068.56,86
1534,3070.56,86
1535,3072.56,86
1536,3074.56,85
1537,3076.56,85
1538,3078.56,85
1539,3080.56,85
